Type;Kategori;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Køn: Kvinder;Deltaget i online høringer/afstemninger;13;13;..;15;..;13;..;..;..;..;..
Køn: Kvinder;Brugt sociale netværkstjenester;88;88;88;84;81;78;..;..;..;..;..
Køn: Kvinder;Brugt karriereorienterede netværkstjenester;..;..;..;..;..;27;..;..;..;..;..
Køn: Kvinder;Taget online kursus;15;23;15;11;..;7;..;..;..;..;..
Køn: Kvinder;Brugt e-learning materiale;34;32;34;..;..;13;..;..;..;..;..
Køn: Kvinder;Kommunikeret med underviser/elev på websider/portaler;23;..;25;16;..;13;..;..;..;..;..
Køn: Kvinder;Delt egne billeder, tekst, videoer, musik eller software;56;..;65;57;..;..;..;..;..;..;..
Køn: Kvinder;Lyttet til musik via webradio eller streamingstjeneste;75;..;73;68;..;..;..;..;..;..;..
Køn: Kvinder;Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.;90;91;90;81;..;..;..;..;..;..;..
Køn: Kvinder;Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber;75;75;72;58;..;..;..;..;..;..;..
Køn: Kvinder;Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone;..;..;33;17;..;..;..;..;..;..;..
Køn: Kvinder;Brug af apps til at mindske madspild;21;..;21;..;..;..;..;..;..;..;..
Køn: Kvinder;Brug af andre grønne apps, der hjælper med at leve miljøvenligt;12;..;9;..;..;..;..;..;..;..;..
Køn: Kvinder;Brug af dating apps eller hjemmesider;7;..;10;..;..;6;..;..;..;..;..
Køn: Kvinder;Lytter til podcast uanset emne;45;..;40;..;..;..;..;..;..;..;..
Køn: Mænd;Sende/modtage e-mail;93;95;96;93;93;93;92;..;90;88;86
Køn: Mænd;Søge infomation om varer mv.;89;86;91;87;88;81;87;79;83;83;83
Køn: Mænd;Services ifm. rejser mv;..;..;..;..;..;57;64;65;..;..;..
Køn: Mænd;Downloade software;..;..;..;..;..;..;..;..;..;58;..
Køn: Mænd;Læse/downloade nyheder;87;85;87;84;..;85;73;70;68;74;77
Køn: Mænd;Jobsøgning;..;37;..;37;..;23;..;..;..;23;..
Køn: Mænd;Søge helbredsmæssig information;64;69;66;61;61;56;57;61;..;48;..
Køn: Mænd;Internetbank;93;93;95;91;89;90;87;85;85;84;80
Køn: Mænd;Salg af varer/tjenester;31;33;32;30;31;30;36;40;24;27;28
Køn: Mænd;Søge infomation om kurser/uddannelse;..;..;..;..;..;..;..;..;..;40;..
Køn: Mænd;Følge online kursus;..;..;..;..;..;..;..;..;..;8;..
Køn: Mænd;At lære nyt på nettet;..;..;..;..;..;..;..;..;..;59;..
Køn: Mænd;Kontakt til offentlige myndigheder (2008);..;..;..;..;..;..;..;..;..;..;..
Køn: Mænd;Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;89;88;89;89;86;85;85;..;..;..
Køn: Mænd;Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;38;41;41;48;48;52;54;53;..;..;..
Køn: Mænd;Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;69;67;73;74;70;70;70;..;..;..
Køn: Mænd;Delt/udtrykt egne holdinger på nettet;21;21;..;21;..;25;..;..;..;..;..
Køn: Mænd;Deltaget i online høringer/afstemninger;13;12;..;15;..;14;..;..;..;..;..
Køn: Mænd;Brugt sociale netværkstjenester;81;83;82;78;76;73;..;..;..;..;..
Køn: Mænd;Brugt karriereorienterede netværkstjenester;..;..;..;..;..;33;..;..;..;..;..
Køn: Mænd;Taget online kursus;15;21;18;13;..;10;..;..;..;..;..
Køn: Mænd;Brugt e-learning materiale;37;34;43;..;..;16;..;..;..;..;..
Køn: Mænd;Kommunikeret med underviser/elev på websider/portaler;20;..;21;12;..;12;..;..;..;..;..
Køn: Mænd;Delt egne billeder, tekst, videoer, musik eller software;43;..;54;47;..;..;..;..;..;..;..
Køn: Mænd;Lyttet til musik via webradio eller streamingstjeneste;80;..;78;74;..;..;..;..;..;..;..
Køn: Mænd;Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.;84;85;85;74;..;..;..;..;..;..;..
Køn: Mænd;Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber;70;70;68;54;..;..;..;..;..;..;..
Køn: Mænd;Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone;..;..;39;28;..;..;..;..;..;..;..
